id	names_group	type	gender	frequency
#names_tables;1;db/names_tables/nagash				
1937224328	180	forename	m	0
1937224329	180	forename	m	0
1937224330	180	forename	m	0
1937224331	180	forename	m	0
1937224332	180	forename	m	0
1937224333	180	forename	m	0
1937224334	180	forename	m	0
1937224335	180	forename	m	0
1777692413	565429470	family_name	b	1
1777692414	565429470	family_name	b	1
1777692415	565429470	family_name	b	1
1777692416	565429470	family_name	b	1
1777692417	565429470	family_name	b	1
1777692418	565429470	family_name	b	1
1777692419	565429470	family_name	b	1
1777692420	565429470	family_name	b	1
